Feature	Gain_Score
TC20	9.7744
AG8	9.3456
GG11	8.4970
G26	7.8705
H3K27me3_250	7.6575
GG8	6.8651
GC9	6.7817
GC17	6.3894
GC23	5.5161
CT21	5.3830
GG18	5.0200
T17	4.8791
AT10	4.4522
A10	4.2773
AT25	4.1910
CA13	4.0312
TG17	3.9813
GA28	3.9475
TT21	3.8925
A20	3.7495
GG20	3.6926
A5	3.6499
GA19	3.4938
A23	3.4782
G2	3.4611
CT5	3.3296
GA27	3.3131
AC12	3.2532
CT29	3.1617
H3K4me1_0	3.0865
H3K4me3_250	3.0570
G15	3.0420
TT7	3.0383
H3K4me3_150	2.9770
GG29	2.9734
CA17	2.8734
GA18	2.8303
AC16	2.7659
G	2.7639
C16	2.6598
CG2	2.6563
AG5	2.6192
AG16	2.5853
GC10	2.5428
A3	2.5324
CG7	2.5149
AC29	2.4506
MeltingTemperature	2.4149
GC16	2.4087
GA14	2.3951
